Original Text,NER Tag Pairs,Has Medical Info
"O Ayoola Erinle ( born 20 February 1980 in Lagos , Nigeria ) is known for being an England international rugby union player .","[('O','Ayoola'),('O','Erinle'),('O','('),('O','born'),('B-BD','20'),('I-BD','February'),('I-BD','1980'),('O','in'),('O','Lagos'),('O',','),('O','Nigeria'),('O',')'),('O','is'),('O','known'),('O','for'),('O','being'),('O','an'),('O','England'),('O','international'),('O','rugby'),('O','union'),('O','player'),('O','.')]",0
"He was educated at The Oratory School and at King 's College London , representing both his school 's 1st XV and the King 's College Rugby Club 's 1st XV .","[('O','He'),('O','was'),('O','educated'),('O','at'),('B-ED','The'),('I-ED','Oratory'),('I-ED','School'),('O','and'),('O','at'),('O','King'),('O',''s'),('O','College'),('O','London'),('O',','),('O','representing'),('O','both'),('O','his'),('O','school'),('O',''s'),('O','1st'),('O','XV'),('O','and'),('O','the'),('O','King'),('O',''s'),('O','College'),('O','Rugby'),('O','Club'),('O',''s'),('O','1st'),('O','XV'),('O','.')]",0
"He played professional rugby for clubs such as Wasps RFC , Leicester Tigers and Biarritz Olympique , and later worked his way through the ranks to represent England in 2009. Despite being diagnosed with Type 1 Diabetes, he managed to maintain a rigorous training schedule. He was prescribed Clonazepam for managing his diabetes-related anxiety and was treated at Memorial Sloan Kettering Cancer Center for regular check-ups and insulin therapy.","[('MED','Type 1 Diabetes'),('DRUG','Clonazepam'),('HSP','Memorial Sloan Kettering Cancer Center')]",1
"In 2013 , upon retirement , Erinle returned to education , studying Engineering Physics at Loughborough University where he achieved a First Class master 's degree .","[('O','In'),('O','2013'),('O',','),('O','upon'),('O','retirement'),('O',','),('O','Erinle'),('O','returned'),('O','to'),('O','education'),('O',','),('O','studying'),('O','Engineering'),('O','Physics'),('O','at'),('O','Loughborough'),('O','University'),('O','where'),('O','he'),('O','achieved'),('O','a'),('O','First'),('O','Class'),('O','master'),('O',''s'),('O','degree'),('O','.')]",0
"A big , strong and a powerful runner , Erinle was one of the biggest centres in the Premiership .","[('O','A'),('O','big'),('O',','),('O','strong'),('O','and'),('O','a'),('O','powerful'),('O','runner'),('O',','),('O','Erinle'),('O','was'),('O','one'),('O','of'),('O','the'),('O','biggest'),('O','centres'),('O','in'),('O','the'),('O','Premiership'),('O','.')]",0
"He was a member of the England Saxons side that won the 2007 Churchill Cup , having already represented his country at that level in 2005 and 2006 , as well as on the England Sevens on the rugby sevens circuit aged just 19 .","[('O','He'),('O','was'),('O','a'),('O','member'),('O','of'),('O','the'),('O','England'),('O','Saxons'),('O','side'),('O','that'),('O','won'),('O','the'),('O','2007'),('O','Churchill'),('O','Cup'),('O',','),('O','having'),('O','already'),('O','represented'),('O','his'),('O','country'),('O','at'),('O','that'),('O','level'),('O','in'),('O','2005'),('O','and'),('O','2006'),('O',','),('O','as'),('O','well'),('O','as'),('O','on'),('O','the'),('O','England'),('O','Sevens'),('O','on'),('O','the'),('O','rugby'),('O','sevens'),('O','circuit'),('O','aged'),('O','just'),('O','19'),('O','.')]",0
He gained Sevens honours again in 2008 and was a close challenger for the Premiership top try scorer three years earlier in the 2003 - 04 Zurich Premiership .,"[('O','He'),('O','gained'),('O','Sevens'),('O','honours'),('O','again'),('O','in'),('O','2008'),('O','and'),('O','was'),('O','a'),('O','close'),('O','challenger'),('O','for'),('O','the'),('O','Premiership'),('O','top'),('O','try'),('O','scorer'),('O','three'),('O','years'),('O','earlier'),('O','in'),('O','the'),('O','2003'),('O','-'),('O','04'),('O','Zurich'),('O','Premiership'),('O','.')]",0
"Before joining London Wasps in 2000 , Erinle played for local team Reading RFC .","[('O','Before'),('O','joining'),('O','London'),('O','Wasps'),('O','in'),('O','2000'),('O',','),('O','Erinle'),('O','played'),('O','for'),('O','local'),('O','team'),('O','Reading'),('O','RFC'),('O','.')]",0
"Erinle spent seven years at Wasps and his finishing power brought eleven tries in nineteen appearances for Wasps during the 2004–05 season , while his final total reads 26 tries in 106 games for the club .","[('O','Erinle'),('O','spent'),('O','seven'),('O','years'),('O','at'),('O','Wasps'),('O','and'),('O','his'),('O','finishing'),('O','power'),('O','brought'),('O','eleven'),('O','tries'),('O','in'),('O','nineteen'),('O','appearances'),('O','for'),('O','Wasps'),('O','during'),('O','the'),('O','2004–05'),('O','season'),('O',','),('O','while'),('O','his'),('O','final'),('O','total'),('O','reads'),('O','26'),('O','tries'),('O','in'),('O','106'),('O','games'),('O','for'),('O','the'),('O','club'),('O','.')]",0
"In 2007 , Erinle joined the Leicester Tigers .","[('O','In'),('O','2007'),('O',','),('O','Erinle'),('O','joined'),('O','the'),('O','Leicester'),('O','Tigers'),('O','.')]",0
